GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
contact-service,CS_320.Contact_Service,ContactService,15,114,3,9,3,29,3,11,0,8
contact-service,CS_320.Contact_Service,Contact,0,152,10,28,0,38,10,19,0,10
